Swim Time,Bike Time,Run Time,Finish Time
00:46:06,04:03:14,02:32:29,07:27:21
00:46:29,04:03:26,02:37:05,07:32:14
00:46:15,04:03:33,02:38:53,07:33:44
00:47:57,03:57:09,02:45:13,07:35:32
00:45:55,04:08:36,02:35:54,07:35:51
00:50:00,04:07:29,02:34:43,07:37:39
00:45:56,04:06:08,02:41:18,07:38:47
00:49:59,04:07:02,02:36:43,07:39:10
00:46:11,04:03:49,02:44:17,07:39:42
00:50:07,04:07:35,02:39:49,07:42:44
00:49:59,04:06:16,02:40:22,07:43:01
00:48:03,04:08:52,02:40:16,07:43:32
00:46:09,04:03:32,02:51:36,07:46:29
00:50:07,04:06:16,02:44:16,07:46:45
00:52:06,04:06:12,02:43:20,07:47:50
00:52:58,04:10:09,02:38:53,07:48:13
00:50:00,04:06:58,02:45:57,07:48:46
00:52:56,04:09:44,02:41:06,07:49:48
00:46:15,04:10:51,02:46:41,07:49:49
00:45:51,04:04:03,02:54:56,07:50:08
00:46:21,04:10:37,02:47:35,07:50:20
00:53:02,04:09:05,02:44:04,07:51:25
00:50:03,04:13:17,02:43:50,07:52:52
00:48:02,04:13:58,02:45:44,07:53:30
00:46:02,04:11:50,02:49:45,07:54:08
00:46:26,04:00:53,03:01:39,07:55:00
00:50:08,04:07:34,02:51:21,07:55:10
00:50:10,04:06:53,02:52:50,07:55:18
00:47:54,04:08:21,02:53:05,07:55:30
00:51:08,04:10:22,02:51:07,08:00:25
00:55:17,04:13:12,02:48:14,08:02:53
00:48:01,04:09:47,02:59:36,08:03:10
00:47:53,04:09:17,03:01:12,08:03:34
01:02:22,04:16:02,02:40:47,08:05:02
00:52:03,04:10:24,02:56:41,08:05:22
00:50:04,04:15:45,02:53:03,08:05:28
00:50:05,04:17:45,02:50:41,08:06:09
00:47:56,04:08:20,03:02:28,08:06:12
00:46:05,04:03:53,03:15:40,08:10:51
00:49:57,04:12:31,03:04:18,08:13:24
00:47:58,04:09:50,03:09:55,08:14:15
00:55:17,04:20:34,02:53:47,08:14:43
00:55:23,04:20:39,02:53:26,08:15:01
01:02:43,04:11:14,02:55:40,08:16:17
00:50:38,04:12:03,03:08:23,08:17:05
00:50:04,04:25:28,02:58:23,08:20:18
01:00:12,04:20:52,02:56:56,08:24:26
00:52:29,04:18:24,03:07:49,08:25:02
00:53:54,04:23:36,03:01:40,08:25:41
01:12:51,04:16:20,02:50:53,08:26:43
00:59:44,04:14:02,03:06:22,08:27:13
00:53:01,04:34:54,02:53:04,08:27:27
00:51:07,04:23:18,03:06:27,08:27:52
00:55:39,04:28:45,02:57:31,08:28:03
00:55:19,04:31:02,02:57:05,08:29:50
00:57:21,04:31:16,02:55:58,08:31:28
00:56:58,04:37:19,02:50:49,08:31:33
00:52:54,04:10:12,03:23:43,08:32:50
00:50:20,04:28:14,03:09:36,08:33:49
01:04:28,04:28:28,02:54:14,08:34:17
00:58:27,04:33:41,02:54:23,08:35:04
00:58:40,04:32:53,02:57:17,08:36:21
00:53:37,04:26:28,03:10:53,08:36:42
00:56:26,04:35:44,02:57:33,08:37:46
01:04:16,04:30:15,02:56:16,08:38:01
00:50:09,04:27:26,03:12:49,08:38:42
00:57:36,04:33:40,03:00:46,08:38:51
00:48:06,04:13:55,03:28:32,08:38:58
01:07:58,04:26:15,02:58:09,08:40:03
01:03:16,04:39:11,02:50:35,08:40:16
00:50:05,04:06:39,03:37:58,08:41:21
01:09:35,04:29:20,02:56:18,08:41:54
00:51:04,04:42:17,03:03:26,08:45:00
00:56:36,04:33:34,03:06:32,08:45:31
01:02:05,04:31:08,03:04:59,08:46:11
00:55:28,04:42:11,03:02:39,08:47:30
01:06:59,04:38:01,02:55:32,08:47:32
01:00:17,04:41:49,02:58:19,08:47:44
00:55:26,04:35:56,03:08:56,08:48:01
01:00:33,04:45:54,02:54:12,08:48:07
00:56:59,04:32:11,03:11:34,08:49:00
00:53:41,04:35:57,03:12:12,08:49:01
01:12:15,04:26:33,03:03:31,08:49:04
01:03:47,04:41:10,02:56:57,08:49:16
00:52:25,04:24:06,03:25:20,08:49:50
01:00:26,04:39:54,03:01:05,08:50:28
00:57:45,04:30:18,03:15:25,08:50:43
00:47:58,04:57:48,02:59:38,08:52:05
00:59:23,04:26:25,03:16:17,08:52:09
00:52:59,04:29:31,03:24:17,08:52:53
00:53:15,04:46:07,03:07:05,08:52:57
01:00:31,04:30:41,03:14:08,08:53:01
01:00:10,04:41:02,03:01:55,08:53:46
00:50:47,04:25:53,03:29:37,08:53:56
01:01:45,04:37:17,03:04:02,08:54:46
01:06:09,04:27:30,03:11:15,08:54:56
01:01:01,04:32:27,03:12:09,08:55:20
01:02:46,04:31:16,03:13:48,08:56:45
00:55:50,04:41:14,03:12:44,08:57:17
01:05:03,04:28:56,03:14:26,08:57:28
01:05:14,04:27:46,03:17:36,08:57:41
00:55:18,04:44:23,03:07:02,08:57:52
01:00:21,04:41:45,03:07:23,08:58:04
00:55:55,04:31:31,03:22:26,08:58:13
00:59:52,04:50:08,03:00:30,08:58:18
01:01:14,04:37:10,03:10:57,08:58:59
01:01:29,04:35:46,03:11:02,08:59:17
01:00:23,04:41:19,03:08:31,08:59:37
01:02:49,04:45:38,03:03:25,09:00:07
01:02:34,04:43:43,03:04:33,09:00:07
01:02:09,04:38:59,03:11:09,09:00:17
01:03:37,04:44:25,03:05:13,09:00:18
01:14:17,04:40:54,02:57:09,09:00:28
00:59:24,04:38:22,03:15:51,09:00:47
00:58:50,04:42:42,03:10:57,09:00:59
01:05:48,04:31:05,03:15:36,09:01:09
00:50:59,04:39:33,03:23:42,09:02:29
00:55:37,04:27:32,03:32:30,09:02:58
01:03:09,04:36:38,03:15:34,09:03:09
01:04:42,04:38:16,03:11:14,09:03:18
00:56:55,04:44:17,03:14:57,09:04:26
01:02:06,04:39:31,03:14:13,09:04:27
01:02:39,04:45:38,03:08:27,09:04:33
00:58:42,04:43:06,03:15:08,09:04:37
00:57:18,04:43:22,03:16:39,09:04:48
01:05:04,04:47:17,03:05:30,09:04:51
01:05:27,04:30:07,03:22:25,09:05:03
00:59:39,04:38:11,03:20:09,09:05:18
01:05:22,04:39:58,03:12:29,09:05:24
01:06:22,04:41:16,02:52:28,09:07:01
01:01:15,04:29:22,03:28:31,09:07:12
01:05:56,04:36:24,03:16:04,09:07:30
01:03:02,04:45:52,03:10:54,09:07:58
00:56:59,04:45:26,03:16:08,09:08:03
01:03:57,04:45:59,03:06:40,09:08:11
00:59:10,04:40:08,03:19:23,09:08:21
01:04:50,04:46:54,03:06:53,09:08:52
00:59:58,04:46:31,03:15:39,09:08:57
01:05:24,04:38:39,03:17:40,09:09:09
01:07:44,04:43:44,03:04:58,09:09:14
01:03:33,04:50:15,03:06:20,09:09:29
01:01:28,04:40:30,03:20:32,09:10:01
01:07:05,04:33:38,03:20:34,09:10:22
01:06:18,04:41:40,03:13:46,09:10:44
01:03:54,04:44:39,03:14:37,09:11:24
01:04:38,04:38:35,03:20:02,09:11:48
01:09:03,04:37:45,03:18:04,09:12:06
01:09:05,04:45:41,03:07:35,09:12:11
01:02:33,04:31:04,03:32:11,09:12:46
01:02:33,04:41:53,03:18:58,09:12:59
01:10:10,04:29:54,03:23:54,09:14:06
00:59:27,04:42:39,03:22:12,09:14:08
01:09:19,04:46:26,03:09:20,09:14:39
01:03:35,04:36:17,03:26:37,09:14:51
01:01:30,04:53:28,03:11:14,09:15:22
01:04:03,04:40:32,03:21:59,09:15:53
01:06:12,04:42:19,03:19:15,09:15:55
01:07:41,04:42:19,03:17:27,09:16:07
01:07:45,04:41:47,03:18:47,09:16:12
00:53:46,04:57:14,03:16:08,09:16:13
00:51:04,04:41:55,03:37:00,09:16:18
01:00:39,04:47:11,03:19:37,09:16:33
01:09:08,04:51:40,03:07:04,09:16:34
01:04:48,04:37:13,03:25:26,09:17:10
01:12:40,04:31:19,03:26:52,09:17:15
01:14:58,04:28:43,03:23:58,09:17:19
01:01:59,05:02:54,02:58:24,09:17:35
01:11:35,04:36:13,03:19:31,09:17:38
01:05:13,04:30:38,03:34:29,09:18:14
01:12:07,04:47:43,03:09:12,09:18:41
01:00:06,04:42:43,03:28:15,09:18:51
01:11:48,04:39:25,03:17:22,09:18:55
01:15:39,04:42:42,03:11:45,09:19:08
00:53:12,04:39:42,03:37:14,09:19:19
01:03:51,04:43:08,03:25:22,09:19:25
01:07:19,04:59:03,03:06:15,09:19:41
01:14:44,04:45:37,03:10:22,09:19:41
01:07:11,04:28:25,03:36:00,09:20:12
00:58:41,04:36:30,03:36:11,09:20:16
01:06:45,04:49:55,03:13:44,09:21:22
01:01:36,04:39:09,03:27:15,09:21:32
01:00:35,04:39:09,03:31:58,09:21:44
01:08:16,04:56:57,03:06:59,09:22:01
01:03:54,05:02:28,03:03:03,09:22:44
00:58:10,04:43:52,03:32:39,09:22:46
01:07:34,04:36:18,03:29:40,09:22:52
01:12:38,04:47:27,03:13:05,09:22:57
01:07:00,05:04:17,03:01:10,09:22:58
01:04:39,04:41:52,03:27:21,09:23:13
01:11:10,04:38:40,03:23:55,09:23:20
01:12:40,04:44:40,03:18:58,09:23:37
01:12:30,04:46:33,03:16:20,09:23:51
01:08:58,04:49:16,03:17:35,09:24:03
01:04:01,04:59:38,03:09:51,09:24:09
01:11:16,04:45:37,03:15:09,09:24:09
01:05:08,04:44:21,03:22:45,09:24:12
01:01:54,04:50:46,03:18:52,09:24:16
01:03:01,04:45:46,03:23:11,09:24:24
01:04:27,04:50:15,03:22:27,09:24:28
01:03:58,04:50:02,03:21:30,09:24:38
01:08:41,04:58:22,03:05:16,09:24:57
01:16:23,04:46:27,03:14:15,09:25:15
01:00:12,04:48:27,03:24:06,09:25:37
01:09:34,04:41:46,03:25:58,09:25:46
01:06:03,04:30:11,03:42:12,09:26:05
01:01:54,04:47:49,03:25:40,09:26:26
01:06:08,04:53:51,03:18:53,09:26:29
00:55:20,04:39:43,03:43:37,09:26:44
00:56:47,04:42:27,03:39:24,09:26:46
01:20:35,04:30:09,03:27:45,09:26:48
01:11:22,04:47:56,03:20:23,09:27:03
01:00:32,05:08:02,03:08:47,09:27:37
01:00:32,04:52:15,03:22:44,09:28:03
01:07:29,04:40:11,03:31:01,09:28:14
01:13:41,04:38:07,03:26:15,09:28:32
01:05:55,04:39:21,03:32:10,09:28:33
01:08:20,04:50:28,03:21:20,09:28:33
01:00:36,04:57:18,03:22:56,09:28:54
01:10:42,04:47:15,03:21:45,09:29:05
01:08:42,04:52:14,03:16:14,09:29:35
00:52:27,04:48:07,03:41:29,09:30:16
01:10:35,04:49:51,03:21:30,09:30:16
01:01:11,04:42:42,03:36:51,09:30:34
01:08:11,04:58:14,03:16:32,09:30:46
01:03:26,04:36:22,03:43:26,09:30:58
01:00:09,04:45:33,03:37:14,09:31:17
01:11:40,04:46:25,03:24:35,09:31:30
01:02:58,04:49:55,03:32:10,09:31:38
01:23:26,04:43:07,03:16:22,09:31:38
01:17:19,04:36:58,03:26:06,09:31:42
00:59:29,04:47:11,03:37:24,09:31:46
00:53:32,04:45:10,03:43:06,09:31:47
