week_start,Bike,Run,Swim
2023-10-10,32.39,0.0,2.35
2023-10-17,119.06,17.71,6.4
2023-10-24,38.06,12.49,6.65
2023-10-31,136.6,29.59,7.6
2023-11-07,276.9,24.21,4.3
2023-11-28,41.24,7.87,0.0
2023-12-05,86.93,6.42,0.0
2023-12-12,42.0,0.0,2.35
2023-12-19,0.0,24.91,1.45
2023-12-26,238.76,17.45,2.6
2024-01-02,217.9,29.78,2.92
2024-01-09,68.09,20.83,1.95
2024-01-16,111.35,3.96,4.25
2024-01-23,134.95,25.36,2.1
2024-01-30,120.57,11.69,3.05
2024-02-06,132.16,23.4,10.15
2024-02-13,116.9,33.63,5.0
2024-02-20,89.32,14.02,3.35
2024-02-27,62.76,16.68,1.9
2024-03-05,176.36,22.16,5.15
2024-03-12,136.26,24.59,0.0
2024-03-19,0.0,22.14,3.05
2024-04-02,0.0,44.0,0.0
2024-04-16,0.0,51.11,0.0
2024-04-30,34.69,0.0,0.0
2024-05-07,98.24,32.45,2.2
2024-05-14,209.04,42.23,4.95
2024-05-21,43.35,5.8,11.72
2024-05-28,251.61,33.02,11.35
2024-06-04,213.38,38.1,2.08
2024-06-11,69.95,7.96,6.4
2024-06-18,375.7,38.62,5.4
2024-06-25,130.0,7.51,0.0
2024-07-02,96.75,34.13,0.0
2024-07-09,438.54,38.06,7.75
2024-07-16,407.39,20.21,4.4
2024-07-23,285.12,49.49,19.4
2024-07-30,259.34,2.21,4.2
2024-08-06,239.98,32.8,13.75
2024-08-13,365.49,52.51,10.46
