date,Form,Fatigue
2023-10-16,30.494808,53.41727
2023-10-17,31.141958,54.027332
2023-10-18,31.538599,53.22496
2023-10-19,31.831795,51.996914
2023-10-20,31.082846,45.074974
2023-10-21,34.91601,64.900185
2023-10-22,34.941517,61.052933
2023-10-23,37.601593,73.69248
2023-10-24,39.11678,77.46084
2023-10-25,39.65518,77.00012
2023-10-26,38.722164,66.7497
2023-10-27,37.811096,57.863842
2023-10-28,37.203804,51.75835
2023-10-29,36.32846,44.86817
2023-10-30,38.532394,57.798565
2023-10-31,40.637417,67.5433
2023-11-01,40.410664,64.94165
2023-11-02,42.753834,74.93358
2023-11-03,44.40661,80.00106
2023-11-04,43.361797,69.35115
2023-11-05,44.27089,71.03499
2023-11-06,46.240894,80.21576
2023-11-07,46.305813,76.06025
2023-11-08,46.016277,72.59106
2023-11-09,48.486366,83.02902
2023-11-10,48.569035,78.89838
2023-11-11,48.90857,76.78195
2023-11-12,50.393005,81.47025
2023-11-13,54.43063,100.17787
2023-11-14,53.149967,86.84198
2023-11-15,51.899437,75.281395
2023-11-16,50.67833,65.25978
2023-11-17,49.485954,56.57226
2023-11-18,48.321632,49.041245
2023-11-19,47.184708,42.51277
2023-11-20,46.07453,36.853382
2023-11-21,44.990475,31.947382
2023-11-22,43.931923,27.694479
2023-11-23,42.898277,24.007732
2023-11-24,41.888954,20.811773
2023-11-25,40.903378,18.041265
2023-11-26,39.94099,15.639574
2023-11-27,39.001247,13.557601
2023-11-28,39.942352,22.26943
2023-11-29,40.249577,26.360348
2023-11-30,39.30257,22.851202
2023-12-01,38.377846,19.809202
2023-12-02,37.47488,17.17216
2023-12-03,36.59316,14.886166
2023-12-04,35.73218,14.635076
2023-12-05,35.879654,18.277952
2023-12-06,36.37658,24.630812
2023-12-07,37.991173,35.329727
2023-12-08,37.097305,30.62656
2023-12-09,36.22447,26.549488
2023-12-10,35.37217,23.015165
2023-12-11,34.53992,19.951338
2023-12-12,33.727253,17.295374
2023-12-13,32.93371,14.992977
2023-12-14,32.158833,12.997081
2023-12-15,31.40219,11.266882
2023-12-16,30.66335,9.767011
2023-12-17,29.941893,8.466805
2023-12-18,34.107773,36.360306
2023-12-19,35.234596,42.43596
2023-12-20,34.405586,36.786797
2023-12-21,35.054836,41.474453
2023-12-22,34.653564,38.349483
2023-12-23,36.52045,48.42024
2023-12-24,35.661186,41.974434
2023-12-25,34.82214,36.386707
2023-12-26,35.60276,42.85821
2023-12-27,38.9296,60.715446
2023-12-28,39.354767,64.2145
2023-12-29,40.499306,67.380875
2023-12-30,42.79333,76.78184
2023-12-31,41.786476,66.56048
2024-01-01,40.80331,57.699806
2024-01-02,41.537315,61.60031
2024-01-03,42.98343,67.11153
2024-01-04,42.37208,60.440575
2024-01-05,42.73978,64.90807
2024-01-06,47.80449,90.61288
2024-01-07,49.45607,94.258705
2024-01-08,50.2453,94.224266
2024-01-09,50.968906,92.46382
2024-01-10,51.393147,91.20398
2024-01-11,53.57203,98.2323
2024-01-12,52.31157,85.15541
2024-01-13,51.080765,73.81934
2024-01-14,51.29062,71.97968
2024-01-15,51.260254,72.647995
2024-01-16,52.712887,78.01974
2024-01-17,53.896057,82.41014
2024-01-18,55.169033,85.81672
2024-01-19,53.871,74.39262
2024-01-20,52.603504,64.48931
2024-01-21,51.365833,55.904358
2024-01-22,52.768925,64.436905
2024-01-23,51.527363,55.85893
2024-01-24,50.31501,48.42287
2024-01-25,51.178146,54.75644
2024-01-26,51.362183,55.32135
2024-01-27,53.659435,67.792046
2024-01-28,55.14973,74.34271
2024-01-29,60.110683,102.6521
2024-01-30,63.754967,117.608086
2024-01-31,62.25492,101.95185
2024-02-01,62.41362,97.56523
2024-02-02,61.768623,89.23642
2024-02-03,60.31531,77.35708
2024-02-04,60.63729,76.91018
2024-02-05,60.810524,75.72404
2024-02-06,64.6501,95.462845
2024-02-07,63.928955,87.280785
2024-02-08,66.54227,99.35751
2024-02-09,71.47045,122.872536
2024-02-10,73.8828,129.67873
2024-02-11,72.14446,112.41562
2024-02-12,78.140785,142.71213
2024-02-13,78.137474,134.09752
2024-02-14,77.946014,127.162186
2024-02-15,79.78249,131.00113
2024-02-16,79.50527,122.61429
2024-02-17,77.63464,106.29162
2024-02-18,80.60781,119.29877
2024-02-19,78.71124,105.68054
2024-02-20,79.65917,107.45366
2024-02-21,81.173004,114.31561
2024-02-22,83.47471,122.92654
2024-02-23,81.51069,106.5623
2024-02-24,79.59288,92.3765
2024-02-25,77.72019,80.07915
2024-02-26,77.091515,76.20807
2024-02-27,75.27768,66.06309
2024-02-28,73.93003,59.66483
2024-02-29,72.19058,51.722122
2024-03-01,72.32727,55.220287
2024-03-02,72.554855,58.78526
2024-03-03,72.18887,58.547604
2024-03-04,73.54907,69.52384
2024-03-05,77.01834,89.68867
