DepCity,DepLat,DepLon,ArrCity,ArrLat,ArrLon,NbFlights,CO2Intensity
Berlin,52.510885,13.3989367,Amsterdam,52.3730796,4.8924534,1,0.16429
Amsterdam,52.3730796,4.8924534,Singapore,1.357107,103.8194992,1,2.9902
Bengaluru,12.98815675,77.62260003796,Paris,48.8588897,2.3200410217200766,1,2.23784
Paris,48.8588897,2.3200410217200766,Dusseldorf,51.2254018,6.7763137,1,0.11765
Dusseldorf,51.2254018,6.7763137,London,51.5074456,-0.1277653,1,0.13684
London,51.5074456,-0.1277653,Dusseldorf,51.2254018,6.7763137,1,0.13684
Frankfurt am Main,50.1106444,8.6820917,Montreal,45.5031824,-73.5698065,1,1.66574
Montreal,45.5031824,-73.5698065,Frankfurt am Main,50.1106444,8.6820917,1,1.66574
Frankfurt am Main,50.1106444,8.6820917,Minneapolis,44.9772995,-93.2654692,1,2.00783
Minneapolis,44.9772995,-93.2654692,Spokane,47.6571934,-117.42351,1,0.5333
Spokane,47.6571934,-117.42351,New York,40.7127281,-74.0060152,1,0.99715
New York,40.7127281,-74.0060152,Frankfurt am Main,50.1106444,8.6820917,1,1.76777
Dusseldorf,51.2254018,6.7763137,Manchester,53.4794892,-2.2451148,1,0.1885
Manchester,53.4794892,-2.2451148,Dusseldorf,51.2254018,6.7763137,1,0.1885
Frankfurt am Main,50.1106444,8.6820917,Los Angeles,34.0536909,-118.242766,1,2.6512
Los Angeles,34.0536909,-118.242766,Frankfurt am Main,50.1106444,8.6820917,1,2.6512
Dusseldorf,51.2254018,6.7763137,Atlanta,33.7489924,-84.3902644,1,2.06009
Atlanta,33.7489924,-84.3902644,Cancun,21.1527467,-86.8425761,1,0.40505
Cancun,21.1527467,-86.8425761,Atlanta,33.7489924,-84.3902644,1,0.40505
Atlanta,33.7489924,-84.3902644,Dusseldorf,51.2254018,6.7763137,1,2.06009
Frankfurt am Main,50.1106444,8.6820917,New York,40.7127281,-74.0060152,1,1.76777
New York,40.7127281,-74.0060152,Pittsburgh,40.4416941,-79.9900861,1,0.14426
Pittsburgh,40.4416941,-79.9900861,New York,40.7127281,-74.0060152,1,0.14426
New York,40.7127281,-74.0060152,Frankfurt am Main,50.1106444,8.6820917,1,1.76777
Cologne,50.938361,6.959974,Palma De Mallorca,39.58125245,2.7092683401782343,1,0.37203
Palma De Mallorca,39.58125245,2.7092683401782343,Dusseldorf,51.2254018,6.7763137,1,0.37979
Dusseldorf,51.2254018,6.7763137,London,51.5074456,-0.1277653,1,0.13684
Edinburgh,55.9533456,-3.1883749,Dusseldorf,51.2254018,6.7763137,1,0.23958
Frankfurt am Main,50.1106444,8.6820917,Innsbruck,47.2654296,11.3927685,1,0.1065
Innsbruck,47.2654296,11.3927685,Frankfurt am Main,50.1106444,8.6820917,1,0.1065
Chennai,13.0836939,80.270186,Tokyo,35.6768601,139.7638947,1,1.82999
Tokyo,35.6768601,139.7638947,Chennai,13.0836939,80.270186,1,1.82999
Chennai,13.0836939,80.270186,Paris,48.8588897,2.3200410217200766,1,2.29079
Paris,48.8588897,2.3200410217200766,Chennai,13.0836939,80.270186,1,2.29079
